# Textos de efeito do lado Kotlin (EffectsHuman, EffectCatalogMeta, telas de efeito).
# chave<TAB>texto pt-BR. Rotulo curto repetido reusa a chave do catalogo do motor.
fx_pivo	Pivô
fx_desc_glitch_uni_vhs	O VHS estilizado: separação RGB grande, ondulação, brilho sujo e vinheta — o vocabulário da fita a serviço do visual.
fx_desc_glitch_signal	Sinal de transmissão: bandas que se perdem, sincronia que escorrega e deriva constante.
fx_desc_glitch_cross	Duas faixas, uma vertical e uma horizontal, varrem a imagem lendo do lugar errado. Anime o progresso para virar transição.
fx_desc_time_posterize	Trava a taxa de quadros: a imagem passa a andar em passos, como animação desenhada.
fx_desc_time_warp_rgb	Cada canal de cor vem de um instante diferente: o vermelho do quadro de trás, o azul do da frente.
fx_desc_control_slider	Um valor de 0 a 100 que você liga na expressão de outro parâmetro.
fx_desc_control_angle	Um ângulo que você liga na expressão de outro parâmetro.
fx_desc_control_checkbox	Um liga/desliga que você liga na expressão de outro parâmetro.
fx_desc_control_color	Uma cor que você liga na expressão de outro parâmetro.
fx_desc_control_point	Um ponto X/Y que você liga na expressão de outro parâmetro.
fx_matrix_rr	Vermelho
fx_matrix_rg	Vermelho do verde
fx_matrix_rb	Vermelho do azul
fx_matrix_ro	Vermelho extra
fx_matrix_gr	Verde do vermelho
fx_matrix_gg	Verde
fx_matrix_gb	Verde do azul
fx_matrix_go	Verde extra
fx_matrix_br	Azul do vermelho
fx_matrix_bg	Azul do verde
fx_matrix_bb	Azul
fx_matrix_bo	Azul extra
