pt	en	es	ar	ko	ja	zh	hi	id	ru
Exportar vídeo	Export video	Exportar vídeo	تصدير الفيديو	동영상 내보내기	動画を書き出す	导出视频	वीडियो निर्यात करें	Ekspor video	Экспорт видео
Qualidade	Quality	Calidad	الجودة	품질	品質	质量	गुणवत्ता	Kualitas	Качество
Resolucao	Resolution	Resolución	الدقة	해상도	解像度	分辨率	रिज़ॉल्यूशन	Resolusi	Разрешение
Proporcao	Aspect ratio	Relación de aspecto	نسبة العرض إلى الارتفاع	화면 비율	縦横比	宽高比	आस्पेक्ट अनुपात	Rasio aspek	Соотношение сторон
Padroes de novos projetos	New project defaults	Valores predeterminados de nuevos proyectos	إعدادات المشاريع الجديدة	새 프로젝트 기본 설정	新規プロジェクトの既定値	新项目默认设置	नए प्रोजेक्ट की डिफ़ॉल्ट सेटिंग	Pengaturan awal proyek baru	Настройки новых проектов
Tema	Theme	Tema	المظهر	테마	テーマ	主题	थीम	Tema	Тема
Escuro	Dark	Oscuro	داكن	어둡게	ダーク	深色	गहरा	Gelap	Тёмная
Claro	Light	Claro	فاتح	밝게	ライト	浅色	हल्का	Terang	Светлая
Sistema	System	Sistema	النظام	시스템	システム	系统	सिस्टम	Sistem	Системная
Limpar cache	Clear cache	Borrar caché	مسح ذاكرة التخزين المؤقت	캐시 지우기	キャッシュを削除	清除缓存	कैश साफ़ करें	Hapus cache	Очистить кэш
Imagem	Image	Imagen	صورة	이미지	画像	图片	छवि	Gambar	Изображение
Vídeo	Video	Vídeo	فيديو	동영상	動画	视频	वीडियो	Video	Видео
Áudio	Audio	Audio	صوت	오디오	音声	音频	ऑडियो	Audio	Аудио
Mídia	Media	Multimedia	الوسائط	미디어	メディア	媒体	मीडिया	Media	Медиа
Galeria	Gallery	Galería	المعرض	갤러리	ギャラリー	相册	गैलरी	Galeri	Галерея
Texto	Text	Texto	نص	텍스트	テキスト	文本	टेक्स्ट	Teks	Текст
Forma	Shape	Forma	شكل	도형	シェイプ	形状	आकार	Bentuk	Фигура
Formas	Shapes	Formas	أشكال	도형	シェイプ	形状	आकार	Bentuk	Фигуры
Modelos	Models	Modelos	النماذج	모델	モデル	模型	मॉडल	Model	Модели
Camadas	Layers	Capas	الطبقات	레이어	レイヤー	图层	लेयर	Lapisan	Слои
Camada	Layer	Capa	طبقة	레이어	レイヤー	图层	लेयर	Lapisan	Слой
Efeitos	Effects	Efectos	التأثيرات	효과	エフェクト	效果	इफ़ेक्ट	Efek	Эффекты
Adicionar efeito	Add effect	Añadir efecto	إضافة تأثير	효과 추가	エフェクトを追加	添加效果	इफ़ेक्ट जोड़ें	Tambah efek	Добавить эффект
Opacidade	Opacity	Opacidad	العتامة	불투명도	不透明度	不透明度	अपारदर्शिता	Opasitas	Непрозрачность
Mesclagem	Blending	Fusión	المزج	혼합	ブレンド	混合	ब्लेंडिंग	Pencampuran	Наложение
Máscara	Mask	Máscara	قناع	마스크	マスク	蒙版	मास्क	Masker	Маска
Cor	Color	Color	اللون	색상	色	颜色	रंग	Warna	Цвет
Preenchimento	Fill	Relleno	تعبئة	채우기	塗り	填充	भराव	Isian	Заливка
Cor e preenchimento	Color and fill	Color y relleno	اللون والتعبئة	색상 및 채우기	色と塗り	颜色与填充	रंग और भराव	Warna dan isian	Цвет и заливка
Borda e sombra	Border and shadow	Borde y sombra	الحدود والظل	테두리 및 그림자	境界線と影	边框与阴影	बॉर्डर और छाया	Tepi dan bayangan	Граница и тень
Mover	Move	Mover	تحريك	이동	移動	移动	खिसकाएँ	Pindahkan	Переместить
Girar	Rotate	Girar	تدوير	회전	回転	旋转	घुमाएँ	Putar	Повернуть
Escalar	Scale	Escalar	تحجيم	크기 조절	拡大・縮小	缩放	स्केल	Skalakan	Масштабировать
Inclinar	Skew	Inclinar	إمالة	기울이기	傾斜	倾斜	तिरछा करें	Miringkan	Наклонить
Posição	Position	Posición	الموضع	위치	位置	位置	स्थिति	Posisi	Позиция
Rotação	Rotation	Rotación	الدوران	회전	回転	旋转	घुमाव	Rotasi	Вращение
Escala	Scale	Escala	المقياس	배율	スケール	缩放	स्केल	Skala	Масштаб
Tamanho	Size	Tamaño	الحجم	크기	サイズ	大小	आकार	Ukuran	Размер
Largura	Width	Anchura	العرض	너비	幅	宽度	चौड़ाई	Lebar	Ширина
Altura	Height	Altura	الارتفاع	높이	高さ	高度	ऊँचाई	Tinggi	Высота
Profundidade	Depth	Profundidad	العمق	깊이	奥行き	深度	गहराई	Kedalaman	Глубина
Pivô	Pivot	Pivote	نقطة الارتكاز	피벗	ピボット	轴心	धुरी	Pivot	Опорная точка
Velocidade	Speed	Velocidad	السرعة	속도	速度	速度	गति	Kecepatan	Скорость
Volume	Volume	Volumen	مستوى الصوت	음량	音量	音量	आवाज़	Volume	Громкость
Duração	Duration	Duración	المدة	길이	長さ	时长	अवधि	Durasi	Длительность
Início	Start	Inicio	البداية	시작	開始	开始	शुरुआत	Mulai	Начало
Fim	End	Fin	النهاية	끝	終了	结束	अंत	Akhir	Конец
Recortar	Crop	Recortar	اقتصاص	자르기	切り抜き	裁剪	क्रॉप करें	Pangkas	Обрезать
Dividir	Split	Dividir	تقسيم	분할	分割	分割	विभाजित करें	Pisahkan	Разделить
Vincular	Link	Vincular	ربط	연결	リンク	关联	लिंक करें	Tautkan	Связать
Desvincular	Unlink	Desvincular	فك الربط	연결 해제	リンク解除	取消关联	अनलिंक करें	Lepas tautan	Отвязать
Objeto nulo	Null object	Objeto nulo	كائن فارغ	널 오브젝트	ヌルオブジェクト	空对象	नल ऑब्जेक्ट	Objek null	Нулевой объект
Cena 3D	3D scene	Escena 3D	مشهد ثلاثي الأبعاد	3D 장면	3Dシーン	3D场景	3D दृश्य	Adegan 3D	3D-сцена
Scene 3D	3D scene	Escena 3D	مشهد ثلاثي الأبعاد	3D 장면	3Dシーン	3D场景	3D दृश्य	Adegan 3D	3D-сцена
Objetos	Objects	Objetos	الكائنات	오브젝트	オブジェクト	对象	ऑब्जेक्ट	Objek	Объекты
Transformar	Transform	Transformar	تحويل	변형	変形	变换	रूपांतरण	Transformasi	Трансформация
Animar	Animate	Animar	تحريك	애니메이션	アニメーション	动画	एनिमेट करें	Animasikan	Анимировать
Animação	Animation	Animación	الرسوم المتحركة	애니메이션	アニメーション	动画	एनिमेशन	Animasi	Анимация
Câmera	Camera	Cámara	الكاميرا	카메라	カメラ	摄像机	कैमरा	Kamera	Камера
Câmeras	Cameras	Cámaras	الكاميرات	카메라	カメラ	摄像机	कैमरे	Kamera	Камеры
Luz	Light	Luz	الضوء	조명	ライト	灯光	प्रकाश	Cahaya	Свет
Luzes	Lights	Luces	الأضواء	조명	ライト	灯光	प्रकाश	Cahaya	Источники света
Cena	Scene	Escena	المشهد	장면	シーン	场景	दृश्य	Adegan	Сцена
Material	Material	Material	الخامة	재질	マテリアル	材质	मैटेरियल	Material	Материал
Materiais	Materials	Materiales	الخامات	재질	マテリアル	材质	मैटेरियल	Material	Материалы
Reflexos	Reflections	Reflejos	الانعكاسات	반사	反射	反射	परावर्तन	Refleksi	Отражения
Ambiente	Environment	Entorno	البيئة	환경	環境	环境	परिवेश	Lingkungan	Окружение
Intensidade	Intensity	Intensidad	الشدة	강도	強度	强度	तीव्रता	Intensitas	Интенсивность
Sombras	Shadows	Sombras	الظلال	그림자	シャドウ	阴影	छाया	Bayangan	Тени
Perspectiva	Perspective	Perspectiva	المنظور	원근	透視投影	透视	परिप्रेक्ष्य	Perspektif	Перспектива
Frente	Front	Frente	أمام	정면	正面	前视	सामने	Depan	Спереди
Topo	Top	Arriba	أعلى	위	上面	顶视	ऊपर	Atas	Сверху
Direita	Right	Derecha	يمين	오른쪽	右	右侧	दायाँ	Kanan	Справа
Livre	Free	Libre	حر	자유	自由	自由	मुक्त	Bebas	Свободно
Dicas	Tips	Consejos	نصائح	도움말	ヒント	提示	सुझाव	Tips	Советы
Ajuda	Help	Ayuda	مساعدة	도움말	ヘルプ	帮助	सहायता	Bantuan	Помощь
Avançado	Advanced	Avanzado	متقدم	고급	詳細	高级	उन्नत	Lanjutan	Расширенные
Pronto	Ready	Listo	جاهز	준비됨	準備完了	就绪	तैयार	Siap	Готово
Montar	Customize	Personalizar	تخصيص	사용자 지정	カスタマイズ	自定义	अनुकूलित करें	Sesuaikan	Настроить
Redefinir	Reset	Restablecer	إعادة الضبط	초기화	リセット	重置	रीसेट करें	Atur ulang	Сбросить
Desenhar	Draw	Dibujar	رسم	그리기	描画	绘制	बनाएँ	Gambar	Рисовать
Pontos	Points	Puntos	النقاط	점	ポイント	点	बिंदु	Titik	Точки
Cantos	Corners	Esquinas	الزوايا	모서리	角	圆角	कोने	Sudut	Углы
Traço	Stroke	Trazo	الحد	선	線	描边	स्ट्रोक	Goresan	Обводка
Animar contorno	Animate outline	Animar contorno	تحريك الحدود	윤곽선 애니메이션	輪郭をアニメーション化	轮廓动画	रूपरेखा एनिमेट करें	Animasikan garis tepi	Анимировать контур
Desenhar à mão na prévia	Draw on preview	Dibujar en la vista previa	الرسم على المعاينة	미리보기에 그리기	プレビューに描く	在预览中绘制	पूर्वावलोकन पर बनाएँ	Gambar pada pratinjau	Рисовать на предпросмотре
Melhorar qualidade	Enhance quality	Mejorar calidad	تحسين الجودة	화질 개선	画質を向上	提升画质	गुणवत्ता सुधारें	Tingkatkan kualitas	Улучшить качество
Melhorar qualidade • IA e cores	Enhance quality • AI and color	Mejorar calidad • IA y color	تحسين الجودة • الذكاء الاصطناعي والألوان	화질 개선 • AI 및 색상	画質向上 • AIと色	提升画质 • AI与颜色	गुणवत्ता सुधारें • AI और रंग	Tingkatkan kualitas • AI dan warna	Улучшить качество • ИИ и цвет
Mais definição. Sua cor.	More detail. Your color.	Más detalle. Tu color.	تفاصيل أوضح. ألوانك.	더 선명하게. 나만의 색상.	もっと鮮明に。あなたの色で。	更清晰，更出彩。	अधिक विवरण। आपके रंग।	Lebih detail. Warnamu.	Больше деталей. Ваш цвет.
Escolher foto ou vídeo	Choose photo or video	Elegir foto o vídeo	اختيار صورة أو فيديو	사진 또는 동영상 선택	写真または動画を選択	选择照片或视频	फ़ोटो या वीडियो चुनें	Pilih foto atau video	Выбрать фото или видео
Trocar arquivo	Change file	Cambiar archivo	تغيير الملف	파일 변경	ファイルを変更	更换文件	फ़ाइल बदलें	Ganti berkas	Сменить файл
Ampliar com IA	Upscale with AI	Ampliar con IA	تكبير بالذكاء الاصطناعي	AI로 확대	AIで拡大	AI放大	AI से बड़ा करें	Perbesar dengan AI	Увеличить с ИИ
CCs • Correção de cor	CCs • Color correction	CCs • Corrección de color	تصحيح الألوان	CC • 색상 보정	CC • 色補正	CC • 色彩校正	CC • रंग सुधार	CC • Koreksi warna	CC • Цветокоррекция
Comparar antes e depois	Compare before and after	Comparar antes y después	مقارنة قبل وبعد	전후 비교	変更前後を比較	对比处理前后	पहले और बाद की तुलना	Bandingkan sebelum dan sesudah	Сравнить до и после
Gerar resultado	Generate result	Generar resultado	إنشاء النتيجة	결과 생성	結果を生成	生成结果	परिणाम बनाएँ	Buat hasil	Создать результат
Salvar na galeria	Save to gallery	Guardar en la galería	حفظ في المعرض	갤러리에 저장	ギャラリーに保存	保存到相册	गैलरी में सहेजें	Simpan ke galeri	Сохранить в галерею
Antes	Before	Antes	قبل	이전	変更前	处理前	पहले	Sebelum	До
Depois	After	Después	بعد	이후	変更後	处理后	बाद में	Sesudah	После
Reduzir ruído	Reduce noise	Reducir ruido	تقليل التشويش	노이즈 감소	ノイズを低減	降噪	शोर कम करें	Kurangi derau	Уменьшить шум
Detalhes	Details	Detalles	التفاصيل	디테일	詳細	细节	विवरण	Detail	Детали
Intensidade da cor	Color intensity	Intensidad del color	شدة اللون	색상 강도	色の強度	色彩强度	रंग की तीव्रता	Intensitas warna	Интенсивность цвета
Como funciona	How it works	Cómo funciona	كيف يعمل	사용 방법	使い方	使用说明	यह कैसे काम करता है	Cara kerja	Как это работает
Natural	Natural	Natural	طبيعي	자연스럽게	ナチュラル	自然	प्राकृतिक	Alami	Естественный
Cinema	Cinema	Cine	سينمائي	시네마	シネマ	电影	सिनेमा	Sinema	Кино
Dourado	Golden	Dorado	ذهبي	골든	ゴールド	金色	सुनहरा	Keemasan	Золотистый
Frio	Cool	Frío	بارد	차갑게	クール	冷色	ठंडा	Dingin	Холодный
Vintage	Vintage	Vintage	قديم	빈티지	ヴィンテージ	复古	विंटेज	Vintage	Винтаж
Vibrante	Vibrant	Vibrante	زاهٍ	선명하게	鮮やか	鲜艳	चमकीला	Cerah	Яркий
Preto e branco	Black and white	Blanco y negro	أبيض وأسود	흑백	白黒	黑白	श्वेत-श्याम	Hitam putih	Чёрно-белый
Cobre dramático	Dramatic copper	Cobre dramático	نحاسي درامي	드라마틱 코퍼	ドラマチックコッパー	戏剧铜色	नाटकीय तांबा	Tembaga dramatis	Драматическая медь
Retrato limpo	Clean portrait	Retrato limpio	بورتريه صافٍ	선명한 인물	クリアポートレート	清透人像	साफ़ पोर्ट्रेट	Potret bersih	Чистый портрет
Cinema lilás	Lilac cinema	Cine lila	سينمائي أرجواني	라일락 시네마	ライラックシネマ	淡紫电影	लाइलैक सिनेमा	Sinema ungu muda	Сиреневое кино
Azul fosco	Matte blue	Azul mate	أزرق مطفأ	매트 블루	マットブルー	哑光蓝	मैट नीला	Biru matte	Матовый синий
Esporte nítido	Sharp sports	Deporte nítido	رياضة واضحة	선명한 스포츠	シャープスポーツ	清晰运动	स्पष्ट खेल	Olahraga tajam	Чёткий спорт
Azul elétrico	Electric blue	Azul eléctrico	أزرق كهربائي	일렉트릭 블루	エレクトリックブルー	电光蓝	इलेक्ट्रिक नीला	Biru elektrik	Электрический синий
Flash	Flash	Flash	فلاش	플래시	フラッシュ	闪光	फ़्लैश	Flash	Вспышка
Verde e ouro	Green and gold	Verde y oro	أخضر وذهبي	그린 앤 골드	グリーン＆ゴールド	绿与金	हरा और सुनहरा	Hijau dan emas	Зелёный и золотой
Entrar	Sign in	Iniciar sesión	تسجيل الدخول	로그인	ログイン	登录	साइन इन करें	Masuk	Войти
Sair	Sign out	Cerrar sesión	تسجيل الخروج	로그아웃	ログアウト	退出登录	साइन आउट करें	Keluar	Выйти
Sim	Yes	Sí	نعم	예	はい	是	हाँ	Ya	Да
Não	No	No	لا	아니요	いいえ	否	नहीं	Tidak	Нет
Concluído	Done	Listo	تم	완료	完了	完成	पूरा हुआ	Selesai	Готово
Carregando…	Loading…	Cargando…	جارٍ التحميل…	로딩 중…	読み込み中…	加载中…	लोड हो रहा है…	Memuat…	Загрузка…
+ Adicione uma mídia	+ Add media	+ Añade multimedia	+ أضف وسائط	+ 미디어 추가	+ メディアを追加	+ 添加媒体	+ मीडिया जोड़ें	+ Tambahkan media	+ Добавьте медиа
+ Keyframe	+ Keyframe	+ Fotograma clave	+ إطار مفتاحي	+ 키프레임	+ キーフレーム	+ 关键帧	+ कीफ़्रेम	+ Keyframe	+ Ключевой кадр
+ Morfar	+ Morph	+ Morph	+ مورف	+ 모프	+ モーフ	+ 变形	+ मॉर्फ़	+ Morph	+ Морфинг
+ Repeater	+ Repeater	+ Repetidor	+ مكرر	+ 리피터	+ リピーター	+ 中继器	+ रिपीटर	+ Repeater	+ Повторитель
+ Trim Paths	+ Trim Paths	+ Recortar trazados	+ قص المسارات	+ 패스 트리밍	+ パスのトリミング	+ 修剪路径	+ ट्रिम पाथ	+ Trim Paths	+ Обрезка контуров
2×	2×	2×	2×	2×	2×	2×	2×	2×	2×
3D X	3D X	3D X	3D X	3D X	3D X	3D X	3D X	3D X	3D X
3D Y	3D Y	3D Y	3D Y	3D Y	3D Y	3D Y	3D Y	3D Y	3D Y
40 ms entre cada camada, com Mola de interface.	40 ms between each layer, with UI spring.	40 ms entre cada capa, con Muelle de interfaz.	40 مللي ثانية بين كل طبقة، مع نابض الواجهة.	레이어마다 40 ms 간격, 인터페이스 스프링 적용.	各レイヤー間に 40 ms、UIスプリング付き。	每个图层之间间隔 40 ms，使用界面弹簧。	हर लेयर के बीच 40 ms, इंटरफ़ेस स्प्रिंग के साथ।	40 ms di antara setiap lapisan, dengan Pegas antarmuka.	40 мс между слоями, с пружиной интерфейса.
4×	4×	4×	4×	4×	4×	4×	4×	4×	4×
A camera acompanha um objeto.	The camera follows an object.	La cámara sigue a un objeto.	تتبع الكاميرا كائنًا.	카메라가 오브젝트를 따라갑니다.	カメラがオブジェクトを追いかけます。	摄像机跟随一个对象。	कैमरा किसी ऑब्जेक्ट का पीछा करता है।	Kamera mengikuti sebuah objek.	Камера следует за объектом.
A camera herda posicao e rotacao do nulo — nunca a escala. Camera nao tem escala.	The camera inherits position and rotation from the null — never the scale. A camera has no scale.	La cámara hereda la posición y la rotación del nulo — nunca la escala. La cámara no tiene escala.	ترث الكاميرا الموضع والدوران من الكائن الفارغ — وليس المقياس أبدًا. الكاميرا ليس لها مقياس.	카메라는 널 오브젝트의 위치와 회전을 상속합니다 — 배율은 절대 상속하지 않습니다. 카메라에는 배율이 없습니다.	カメラはヌルオブジェクトから位置と回転を継承します — スケールは継承しません。カメラにスケールはありません。	摄像机继承空对象的位置和旋转 — 从不继承缩放。摄像机没有缩放。	कैमरा नल ऑब्जेक्ट से स्थिति और घुमाव लेता है — स्केल कभी नहीं। कैमरे का कोई स्केल नहीं होता।	Kamera mewarisi posisi dan rotasi dari objek null — tidak pernah skala. Kamera tidak punya skala.	Камера наследует позицию и вращение от нулевого объекта — но не масштаб. У камеры нет масштаба.
A camera no ar acompanha o objeto onde ele for.	The active camera follows the object wherever it goes.	La cámara activa sigue al objeto adonde vaya.	تتبع الكاميرا النشطة الكائن أينما ذهب.	활성 카메라가 오브젝트가 가는 곳마다 따라갑니다.	アクティブなカメラがオブジェクトの行き先を追いかけます。	当前摄像机会跟随对象到任何位置。	सक्रिय कैमरा ऑब्जेक्ट जहाँ भी जाए उसका पीछा करता है।	Kamera aktif mengikuti objek ke mana pun ia pergi.	Активная камера следует за объектом, куда бы он ни двигался.
A camera olha para este	The camera looks at this	La cámara mira a este	الكاميرا تنظر إلى هذا	카메라가 이것을 바라봄	カメラがこれを見る	摄像机看向此对象	कैमरा इसे देखता है	Kamera melihat ke ini	Камера смотрит на этот объект
A camera olha para o ponto de interesse dela.	The camera looks at its point of interest.	La cámara mira a su punto de interés.	تنظر الكاميرا إلى نقطة اهتمامها.	카메라가 자신의 관심 지점을 바라봅니다.	カメラは自身の目標点を見ます。	摄像机看向它的目标点。	कैमरा अपने रुचि बिंदु को देखता है।	Kamera melihat ke titik minatnya.	Камера смотрит на свою точку интереса.
A cena usa a luz padrao do ambiente. Crie uma luz para controlar direcao, cor e sombra.	The scene uses the default environment light. Create a light to control direction, color and shadow.	La escena usa la luz predeterminada del entorno. Crea una luz para controlar la dirección, el color y la sombra.	يستخدم المشهد ضوء البيئة الافتراضي. أنشئ ضوءًا للتحكم في الاتجاه واللون والظل.	장면이 기본 환경 조명을 사용합니다. 방향, 색상, 그림자를 조절하려면 조명을 만드세요.	シーンは環境のデフォルトライトを使っています。方向・色・シャドウを制御するにはライトを作成してください。	场景使用默认环境光。创建一个灯光来控制方向、颜色和阴影。	दृश्य परिवेश के डिफ़ॉल्ट प्रकाश का उपयोग करता है। दिशा, रंग और छाया नियंत्रित करने के लिए एक प्रकाश बनाएँ।	Adegan memakai cahaya lingkungan bawaan. Buat cahaya untuk mengatur arah, warna, dan bayangan.	Сцена использует свет окружения по умолчанию. Создайте источник света, чтобы управлять направлением, цветом и тенью.
A cena vai escorregar. Um plano com mais textura e com a câmera andando de lado costuma resolver.	The scene will drift. A shot with more texture and the camera moving sideways usually fixes it.	La escena va a deslizarse. Un plano con más textura y con la cámara moviéndose de lado suele resolverlo.	سينزلق المشهد. عادةً ما تحل المشكلة لقطة فيها تفاصيل أكثر مع تحريك الكاميرا جانبيًا.	장면이 미끄러질 것입니다. 질감이 더 많은 화면에서 카메라를 옆으로 움직이면 대개 해결됩니다.	シーンがずれてしまいます。テクスチャの多いショットで、カメラを横に動かすと解決することが多いです。	场景会出现漂移。画面纹理更丰富、摄像机横向移动的镜头通常能解决问题。	दृश्य फिसल जाएगा। अधिक बनावट वाला शॉट और कैमरे को बगल में चलाने से अक्सर समस्या हल हो जाती है।	Adegan akan tergelincir. Bidikan dengan lebih banyak tekstur dan kamera yang bergerak menyamping biasanya mengatasinya.	Сцена будет уезжать. Обычно помогает кадр с большим количеством текстуры и камера, движущаяся вбок.
A ficha completa: objetos, luzes, ambiente, camera, foco e ajudas.	The full sheet: objects, lights, environment, camera, focus and helpers.	La ficha completa: objetos, luces, entorno, cámara, enfoque y ayudas.	اللوحة الكاملة: الكائنات والأضواء والبيئة والكاميرا والتركيز والمساعدات.	전체 패널: 오브젝트, 조명, 환경, 카메라, 초점, 보조 도구.	完全なパネル：オブジェクト、ライト、環境、カメラ、フォーカス、ヘルパー。	完整面板：对象、灯光、环境、摄像机、焦点和辅助。	पूरा पैनल: ऑब्जेक्ट, प्रकाश, परिवेश, कैमरा, फ़ोकस और सहायक।	Panel lengkap: objek, cahaya, lingkungan, kamera, fokus, dan bantuan.	Полная панель: объекты, свет, окружение, камера, фокус и помощники.
A fonte do destaque e a do contexto saem da lista de fontes importadas (secao Fonte). Quem tiver a licenca da original usa a original.	The highlight font and the context font come from the list of imported fonts (Font section). Whoever has the license for the original uses the original.	La fuente del destacado y la del contexto salen de la lista de fuentes importadas (sección Fuente). Quien tenga la licencia de la original usa la original.	يؤخذ خط الإبراز وخط السياق من قائمة الخطوط المستوردة (قسم الخط). من يملك ترخيص الخط الأصلي يستخدم الأصلي.	강조 글꼴과 문맥 글꼴은 가져온 글꼴 목록(글꼴 섹션)에서 선택합니다. 원본 글꼴의 라이선스가 있다면 원본을 사용하세요.	ハイライトのフォントとコンテキストのフォントは、読み込んだフォントの一覧（フォントセクション）から選びます。元のフォントのライセンスをお持ちなら元のフォントを使ってください。	高亮字体和上下文字体来自已导入的字体列表（字体部分）。拥有原字体授权的人可使用原字体。	हाइलाइट का फ़ॉन्ट और संदर्भ का फ़ॉन्ट आयात किए गए फ़ॉन्ट की सूची (फ़ॉन्ट अनुभाग) से आते हैं। जिसके पास मूल फ़ॉन्ट का लाइसेंस हो, वह मूल का उपयोग करे।	Font sorotan dan font konteks diambil dari daftar font yang diimpor (bagian Font). Siapa pun yang punya lisensi font aslinya bisa memakai yang asli.	Шрифт выделения и шрифт контекста берутся из списка импортированных шрифтов (раздел «Шрифт»). У кого есть лицензия на оригинал — использует оригинал.
A fonte fica oculta na cena	The source stays hidden in the scene	El origen queda oculto en la escena	يبقى المصدر مخفيًا في المشهد	소스가 장면에서 숨겨집니다	ソースはシーンで非表示になります	源在场景中保持隐藏	स्रोत दृश्य में छिपा रहता है	Sumber tetap tersembunyi di adegan	Источник остаётся скрытым в сцене
A fonte some enquanto o recorte estiver ligado, volta ao desligar e a transparencia abaixo e preservada.	The source disappears while the cutout is on, comes back when it is turned off, and the transparency below is preserved.	El origen desaparece mientras el recorte esté activado, vuelve al desactivarlo y la transparencia de abajo se conserva.	يختفي المصدر ما دام القص مفعّلًا، ويعود عند إيقافه، وتُحفظ الشفافية أسفله.	컷아웃이 켜져 있는 동안 소스가 사라지고, 끄면 다시 나타나며, 아래의 투명도는 유지됩니다.	切り抜きがオンの間はソースが消え、オフにすると戻り、下の透明度は保持されます。	抠图开启时源会消失，关闭后恢复，下方的透明度会被保留。	कटआउट चालू रहने तक स्रोत गायब रहता है, बंद करने पर वापस आता है और नीचे की पारदर्शिता बनी रहती है।	Sumber menghilang selama potongan aktif, kembali saat dimatikan, dan transparansi di bawahnya tetap dipertahankan.	Источник исчезает, пока вырез включён, возвращается при выключении, а прозрачность под ним сохраняется.
A forma atual vira a origem; anime o Progresso com keyframes para ver a transformacao.	The current shape becomes the origin; animate Progress with keyframes to see the transformation.	La forma actual pasa a ser el origen; anima el Progreso con fotogramas clave para ver la transformación.	يصبح الشكل الحالي هو الأصل؛ حرّك «التقدم» بإطارات مفتاحية لرؤية التحوّل.	현재 도형이 원본이 됩니다. 진행도를 키프레임으로 애니메이션하여 변형을 확인하세요.	現在のシェイプが元になります。「進行」をキーフレームでアニメーション化して変形を確認してください。	当前形状将成为起点；用关键帧为“进度”做动画即可查看变形。	वर्तमान आकार मूल बन जाता है; रूपांतरण देखने के लिए प्रगति को कीफ़्रेम से एनिमेट करें।	Bentuk saat ini menjadi asal; animasikan Progres dengan keyframe untuk melihat transformasinya.	Текущая фигура становится исходной; анимируйте «Прогресс» ключевыми кадрами, чтобы увидеть превращение.
